127.0.0.1 - - [14/Mar/2022:18:49:21 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/case5.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 200 86947
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/user.html HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Mar/2022:18:49:23 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/case5.jsp HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/css/headFoot.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/css/login.css HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/images/quanx32.gif HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/images/img01.gif HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/images/img03.png HTTP/1.1" 200 21806
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/images/bg0.gif HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/images/img04.png HTTP/1.1" 200 24168
0:0:0:0:0:0:0:1 - - [14/Mar/2022:19:07:35 +0800] "GET /JSPTest/images/img05.png HTTP/1.1" 200 22529
