0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/user.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 200 86947
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:33 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/user.html HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/user.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:16 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:17:48 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 1082
